NO,ITEM CODE,ITEM NAME,UOM,GROUP,GUD1,GUD2,GUD3,GUD4,GUD5,GUD6,GUD7,DRY,BUTCHER,KIMA3,INVENTORY
2341,FID3KEW014,Kewpie Sandwich Cheese Spread 24x150gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2342,FID3KEW015,Kewpie Sandwich Original Spread 24x150gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2343,FID3KEW016,Kewpie Salad Dressing Grated Onion 6X1L,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,47,0,0,47
2344,FID3KEW020,Kewpie Spicy Mayo 6x1Kg,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,1,0,0,1
2345,FID3KEW021,Kewpie Mayo Sauce Mild 6X1KG,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,78,0,0,78
2346,FID3KEW022,Kewpie Salad Dressing Yoghurt 24x150Gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2347,FID3TSM001,STH Taste-Me Oyster Sauce 24 X 250Gr,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,24,0,0,24
2348,FID3TSM002,STH Taste-Me Oyster Sauce 12 X 510Gr,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2349,FID3TSM003,STH Taste-Me Oyster Sauce 12 X 750Gr,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2350,FID3TSM004,STH Taste-Me Oyster Sauce 6 X 2268Gr,TIN,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2351,FID3TSM005,Sth Sesame Oil 12X210 Ml,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2352,FID3TSM005-1,STH Bak Kut The 72 X 116Gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2353,FID3TSM008,STH Sesame Oil 12 X 750Ml,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2354,FID3TSM009,Sth Sesame Oil 12X375 Ml,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2355,FID3TSM009-2,STH Taste-Me Sauce Sambal (Bird Eye Chili Sauce) 24 X 180Gr,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
